date,sales
2016-12-17,1298
2016-12-22,1258
2016-12-24,923
2016-12-24,2110
2016-12-25,1451
2016-12-27,2391
2016-12-27,2257
2017-01-14,863
2017-01-23,1056
2017-01-23,1360
2017-01-30,1364
2017-01-30,2207
2017-02-02,1949
2017-02-02,1655
2017-02-11,1832
2017-02-21,1527
2017-03-06,2014
2017-03-08,1616
2017-03-13,1400
2017-03-20,2238
2017-03-26,1964
2017-03-29,1956
2017-04-01,755
2017-04-08,1536
2017-04-08,2474
2017-04-18,1427
2017-04-22,1238
2017-04-23,2078
2017-04-28,1886
2017-05-02,1079
2017-05-02,589
2017-05-05,1411
2017-05-19,2444
2017-05-27,711
2017-05-30,1403
2017-05-31,564
2017-06-05,2035
2017-06-07,1945
2017-06-11,544
2017-06-17,1554
2017-06-18,1074
2017-06-19,1208
2017-06-20,2265
2017-06-26,689
2017-07-07,1779
2017-07-14,1343
2017-07-16,1963
2017-07-16,1029
2017-07-25,2338
2017-07-29,1689
2017-07-29,1386
2017-08-14,1932
2017-08-18,1610
2017-08-21,719
2017-08-30,945
2017-08-30,1402
2017-09-01,2014
2017-09-01,783
2017-09-01,1014
2017-09-03,1706
2017-09-05,620
2017-09-05,1559
2017-09-08,1709
2017-09-17,1213
2017-09-24,1037
2017-09-25,1369
2017-09-26,1358
2017-09-26,703
2017-09-29,1956
2017-09-30,826
2017-10-04,2308
2017-10-15,896
2017-10-22,2172
2017-10-23,861
2017-10-29,1382
2017-11-04,1836
2017-11-04,1254
2017-11-04,2482
2017-11-05,1899
2017-11-07,2454
2017-11-11,2105
2017-11-15,1256
2017-11-18,1863
2017-11-18,1351
2017-11-18,1014
2017-12-05,1125
2017-12-05,1277
2017-12-06,533
2017-12-11,627
2017-12-11,2301
2017-12-18,1936
2018-01-01,2193
2018-01-02,1448
2018-01-19,2314
2018-01-19,2126
2018-01-21,1288
2018-01-23,1837
2018-02-05,2430
2018-02-09,588
2018-02-17,1224
2018-03-13,1801
2018-03-16,1418
2018-03-17,1381
2018-03-18,827
2018-03-30,1054
2018-04-01,1061
2018-04-03,1610
2018-04-10,1778
2018-04-10,2498
2018-04-11,1149
2018-04-15,1583
2018-04-16,1952
2018-04-23,2033
2018-04-23,1288
2018-04-27,1586
2018-04-29,2091
2018-04-30,1804
2018-04-30,696
2018-05-04,1411
2018-05-06,1077
2018-05-06,1503
2018-05-07,1392
2018-05-14,1882
2018-05-14,1198
2018-05-14,847
2018-05-14,786
2018-05-29,1792
2018-05-29,688
2018-06-02,2145
2018-06-04,1324
2018-06-13,2091
2018-06-15,2323
2018-06-19,1845
2018-06-19,1135
2018-06-30,2463
2018-07-05,842
2018-07-09,1205
2018-07-10,1604
2018-07-12,1486
2018-07-18,2056
2018-08-01,1905
2018-08-07,971
2018-08-14,759
2018-08-20,2411
2018-08-27,1475
2018-08-31,1569
2018-09-02,712
2018-09-02,1832
2018-09-07,1196
2018-09-08,2174
2018-09-09,1565
2018-09-10,2266
2018-09-16,2384
2018-09-23,507
2018-09-24,1229
2018-09-24,1610
2018-09-28,1767
2018-09-29,2334
2018-09-30,1137
2018-10-02,664
2018-10-07,1715
2018-10-08,1979
2018-10-09,1963
2018-10-13,1832
2018-10-13,2365
2018-10-19,571
2018-10-20,793
2018-10-22,1683
2018-10-23,1326
2018-10-24,569
2018-10-26,689
2018-10-27,1993
